year,month,date,long_portfolio,short_portfolio,strategy_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,strategy_name,mkt_exret,rf
2010,1,2010-01-01,-0.02618632635600001,0.0,-0.02618632635600001,100,0,100,True,Long-Only,-0.036974,0.0
2010,2,2010-02-01,0.034390543558999995,0.0,0.034390543558999995,100,0,100,True,Long-Only,0.028514,0.0
2010,3,2010-03-01,0.055962824905,0.0,0.055962824905,100,0,100,True,Long-Only,0.058796,0.0001
2010,4,2010-04-01,0.021974143228999994,0.0,0.021974143228999994,100,0,100,True,Long-Only,0.014759,0.0001
2010,5,2010-05-01,-0.057621878727,0.0,-0.057621878727,100,0,100,True,Long-Only,-0.081976,0.0001
2010,6,2010-06-01,-0.044486963556999985,0.0,-0.044486963556999985,100,0,100,True,Long-Only,-0.053882,0.0001
2010,7,2010-07-01,0.05077888559200001,0.0,0.05077888559200001,100,0,100,True,Long-Only,0.068778,0.0001
2010,8,2010-08-01,-0.038331346344999996,0.0,-0.038331346344999996,100,0,100,True,Long-Only,-0.047449,0.0001
2010,9,2010-09-01,0.09670756412,0.0,0.09670756412,100,0,100,True,Long-Only,0.087551,0.0001
2010,10,2010-10-01,0.034224809268,0.0,0.034224809268,100,0,100,True,Long-Only,0.036856,0.0001
2010,11,2010-11-01,0.009710527687000002,0.0,0.009710527687000002,100,0,100,True,Long-Only,-0.00229,0.0001
2010,12,2010-12-01,0.054884038642,0.0,0.054884038642,100,0,100,True,Long-Only,0.0653,0.0001
2011,1,2011-01-01,0.009546856736,0.0,0.009546856736,100,0,100,True,Long-Only,0.022646,0.0001
2011,2,2011-02-01,0.042399685378000006,0.0,0.042399685378000006,100,0,100,True,Long-Only,0.031957,0.0001
2011,3,2011-03-01,0.011816145912999999,0.0,0.011816145912999999,100,0,100,True,Long-Only,-0.001047,0.0001
2011,4,2011-04-01,0.041198242149999995,0.0,0.041198242149999995,100,0,100,True,Long-Only,0.028495,0.0
2011,5,2011-05-01,0.007187044654,0.0,0.007187044654,100,0,100,True,Long-Only,-0.013501,0.0
2011,6,2011-06-01,-0.010726508526999998,0.0,-0.010726508526999998,100,0,100,True,Long-Only,-0.018258,0.0
2011,7,2011-07-01,-0.028986685752,0.0,-0.028986685752,100,0,100,True,Long-Only,-0.021474,0.0
2011,8,2011-08-01,-0.049233151772,0.0,-0.049233151772,100,0,100,True,Long-Only,-0.056791,0.0001
2011,9,2011-09-01,-0.057665230697,0.0,-0.057665230697,100,0,100,True,Long-Only,-0.071762,0.0
2011,10,2011-10-01,0.08940793042600002,0.0,0.08940793042600002,100,0,100,True,Long-Only,0.107723,0.0
2011,11,2011-11-01,0.012101897475999998,0.0,0.012101897475999998,100,0,100,True,Long-Only,-0.005059,0.0
2011,12,2011-12-01,0.014438830993,0.0,0.014438830993,100,0,100,True,Long-Only,0.008533,0.0
2012,1,2012-01-01,0.06342898730600001,0.0,0.06342898730600001,100,0,100,True,Long-Only,0.043583,0.0
2012,2,2012-02-01,0.0355556144683478,0.0,0.0355556144683478,100,0,100,True,Long-Only,0.040589,0.0
2012,3,2012-03-01,0.023430410663,0.0,0.023430410663,100,0,100,True,Long-Only,0.031332,0.0
2012,4,2012-04-01,0.0003653431639999993,0.0,0.0003653431639999993,100,0,100,True,Long-Only,-0.007497,0.0
2012,5,2012-05-01,-0.06653465723999999,0.0,-0.06653465723999999,100,0,100,True,Long-Only,-0.062651,0.0001
2012,6,2012-06-01,0.029070807387,0.0,0.029070807387,100,0,100,True,Long-Only,0.039555,0.0
