strategy_name,mean_monthly_return,monthly_volatility,annual_return,annual_volatility,sharpe_ratio,information_ratio,max_drawdown,calmar_ratio,win_rate,skewness,kurtosis,var_5,cvar_5,beta,alpha,annual_alpha,tracking_error,total_months,max_monthly_loss
EPS Long-Short Strategy,0.0016325428093750937,0.06227468244848017,0.019590513712501124,0.2157258280519709,0.05148248995971915,-0.32148897588429487,-0.666898138853441,0.029375571127221844,0.47619047619047616,0.29805164082108215,0.6061931357774086,-0.10056364387010001,-0.12426307335844444,-0.45704001909824993,0.006020230370817851,0.07224276444981421,0.2974042898678564,168,-0.16729274413599998
EPS Long-Only Strategy,0.009258626835160808,0.0405361166667811,0.11110352202192969,0.14042122721680886,0.729080819088313,-0.086671426914809,-0.23822549795802325,0.4663796401907691,0.6547619047619048,-0.4579906148907821,0.5768270441997432,-0.0600720144301,-0.083555266304,0.9034212185283198,0.0005855787920133176,0.007026945504159811,0.04729577450955975,168,-0.131693687062
EPS Short-Only Strategy,0.007626084025785714,0.08019272497321454,0.09151300830942857,0.27779574810201024,0.29878422074166044,-0.11884060544108323,-0.7004494125455355,0.13064899002035982,0.5595238095238095,-0.1539170664132001,0.2742955572978514,-0.12622442323009997,-0.16082089196666663,1.3604612376265703,-0.005434651578804539,-0.06521581894565448,0.1993401656644218,168,-0.231852712962
Market Benchmark,0.00960022619047619,0.04277746047207045,0.11520271428571428,0.1481854699127907,0.7197267129492162,0.0,-0.24769650831828313,0.4650962384083428,0.6547619047619048,-0.3353794554254236,0.4890993842693181,-0.06813425000000001,-0.08771333333333334,1.0059880239520957,-5.7486384374107885e-05,-0.0006898366124892946,0.0,168,-0.125119
