train_start,train_end,val_start,val_end,test_start,test_end,val_r2,test_r2,val_mse,test_mse,best_alpha,n_features,train_size,test_size
2000-01-01,2007-12-31,2008-01-01,2009-12-31,2010-01-01,2010-12-31,0.006357653226010562,-0.007138070810157604,0.022357821192790027,0.0067286768462308496,0.00379269019073225,28,9113,1200
2000-01-01,2008-12-31,2009-01-01,2010-12-31,2011-01-01,2011-12-31,-0.02855875965905108,-0.0002866484346264464,0.017833717650672227,0.005413461845856179,0.0069519279617756054,23,10313,1199
2000-01-01,2009-12-31,2010-01-01,2011-12-31,2012-01-01,2012-12-31,-0.0027185088857846207,-0.030624446988484655,0.00612274558374159,0.0038498286791247382,0.0069519279617756054,14,11512,1200
2000-01-01,2010-12-31,2011-01-01,2012-12-31,2013-01-01,2013-12-31,0.007037180368436369,-0.09289193993267264,0.004591834290851105,0.003128897372864858,0.00206913808111479,22,12712,1199
2000-01-01,2011-12-31,2012-01-01,2013-12-31,2014-01-01,2014-12-31,-0.06654455145478444,-0.033135586155246255,0.003556997854363851,0.002404948644021688,0.0011288378916846883,19,13911,1199
2000-01-01,2012-12-31,2013-01-01,2014-12-31,2015-01-01,2015-12-31,-0.04014348013997715,-0.023998470478634237,0.002751601506120113,0.003972057623766151,0.0001,22,15111,1200
2000-01-01,2013-12-31,2014-01-01,2015-12-31,2016-01-01,2016-12-31,-0.01281059950583785,0.027264970160256752,0.0031865894100443952,0.0045450942961573655,0.0011288378916846883,18,16310,1200
2000-01-01,2014-12-31,2015-01-01,2016-12-31,2017-01-01,2017-12-31,0.006350390139619244,-0.027876275138604134,0.0043085454407632276,0.0027229866377579837,0.0011288378916846883,18,17509,1200
2000-01-01,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,0.02621221282676023,-0.01280953904458082,0.00356488121353092,0.004951613856796429,0.0003359818286283781,18,18709,1193
2000-01-01,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,0.013660626062540038,0.015147722230796967,0.003828842225100994,0.004960387296312676,0.0006158482110660267,23,19909,1187
2000-01-01,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,0.03874091648941602,0.11301253592705074,0.004936052650965253,0.013565462307974332,0.0006158482110660267,23,21109,1176
2000-01-01,2018-12-31,2019-01-01,2020-12-31,2021-01-01,2021-12-31,0.034386706292341085,-0.07328088688218926,0.00981682883653645,0.006253563929616177,0.0011288378916846883,28,22302,1176
2000-01-01,2019-12-31,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.03977184294129554,-0.007746350527835233,0.010184439842575546,0.009297635156015333,0.0006158482110660267,18,23489,1176
2000-01-01,2020-12-31,2021-01-01,2022-12-31,2023-01-01,2023-12-31,-0.002680150139577897,0.019814884315557335,0.007688943771852763,0.0061371636981822,0.0006158482110660267,20,24665,1165
